manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error,cloudinary_folder
Dandadan,dandadan,1,65,65,success,2025-10-31T14:09:41.363757,,manga/dandadan/chapter-001
Dandadan,dandadan,2,52,52,success,2025-10-31T14:12:00.984481,,manga/dandadan/chapter-002
Dandadan,dandadan,3,40,40,success,2025-10-31T14:13:56.501996,,manga/dandadan/chapter-003
Dandadan,dandadan,4,20,20,success,2025-10-31T14:14:46.898993,,manga/dandadan/chapter-004
Dandadan,dandadan,5,25,25,success,2025-10-31T14:15:55.406688,,manga/dandadan/chapter-005
Dandadan,dandadan,6,21,21,success,2025-10-31T14:17:00.636364,,manga/dandadan/chapter-006
Dandadan,dandadan,7,19,19,success,2025-10-31T14:17:47.981351,,manga/dandadan/chapter-007
Dandadan,dandadan,8,19,19,success,2025-10-31T14:18:37.704307,,manga/dandadan/chapter-008
Dandadan,dandadan,9,20,20,success,2025-10-31T14:19:27.469227,,manga/dandadan/chapter-009
Dandadan,dandadan,10,19,19,success,2025-10-31T14:20:23.893393,,manga/dandadan/chapter-010
Dandadan,dandadan,11,19,19,success,2025-10-31T14:21:15.251649,,manga/dandadan/chapter-011
Dandadan,dandadan,12,19,19,success,2025-10-31T14:22:07.182000,,manga/dandadan/chapter-012
Dandadan,dandadan,13,21,21,success,2025-10-31T14:23:07.777628,,manga/dandadan/chapter-013
Dandadan,dandadan,14,21,21,success,2025-10-31T14:24:04.189396,,manga/dandadan/chapter-014
Dandadan,dandadan,15,18,18,success,2025-10-31T14:24:58.193888,,manga/dandadan/chapter-015
Dandadan,dandadan,16,21,21,success,2025-10-31T14:25:55.126125,,manga/dandadan/chapter-016
Dandadan,dandadan,17,21,21,success,2025-10-31T14:26:50.541574,,manga/dandadan/chapter-017
Dandadan,dandadan,18,19,19,success,2025-10-31T14:27:39.511292,,manga/dandadan/chapter-018
Dandadan,dandadan,19,20,20,success,2025-10-31T14:28:28.976024,,manga/dandadan/chapter-019
Dandadan,dandadan,20,18,18,success,2025-10-31T14:29:12.741527,,manga/dandadan/chapter-020
Dandadan,dandadan,21,18,18,success,2025-10-31T14:30:00.896920,,manga/dandadan/chapter-021
Dandadan,dandadan,22,18,18,success,2025-10-31T14:30:46.494721,,manga/dandadan/chapter-022
Dandadan,dandadan,23,23,23,success,2025-10-31T14:31:41.049681,,manga/dandadan/chapter-023
Dandadan,dandadan,24,24,24,success,2025-10-31T14:32:50.091830,,manga/dandadan/chapter-024
Dandadan,dandadan,25,18,18,success,2025-10-31T14:33:35.731046,,manga/dandadan/chapter-025
Dandadan,dandadan,26,19,19,success,2025-10-31T14:34:31.877828,,manga/dandadan/chapter-026
Dandadan,dandadan,27,22,22,success,2025-10-31T14:35:26.790012,,manga/dandadan/chapter-027
Dandadan,dandadan,28,19,19,success,2025-10-31T14:36:31.788876,,manga/dandadan/chapter-028
Dandadan,dandadan,29,19,19,success,2025-10-31T14:39:37.858920,,manga/dandadan/chapter-029
Dandadan,dandadan,30,18,18,success,2025-10-31T14:40:30.777564,,manga/dandadan/chapter-030
Dandadan,dandadan,31,21,21,success,2025-11-01T16:32:53.632894,,manga/dandadan/chapter-031
Dandadan,dandadan,32,19,19,success,2025-11-01T16:33:58.781050,,manga/dandadan/chapter-032
Dandadan,dandadan,33,20,20,success,2025-11-01T16:35:59.086877,,manga/dandadan/chapter-033
Dandadan,dandadan,34,19,19,success,2025-11-01T16:37:11.567963,,manga/dandadan/chapter-034
Dandadan,dandadan,35,19,19,success,2025-11-01T16:38:33.331774,,manga/dandadan/chapter-035
Dandadan,dandadan,36,19,19,success,2025-11-01T16:40:10.974811,,manga/dandadan/chapter-036
Dandadan,dandadan,37,17,17,success,2025-11-01T16:41:41.016339,,manga/dandadan/chapter-037
Dandadan,dandadan,38,20,20,success,2025-11-01T16:43:15.353526,,manga/dandadan/chapter-038
Dandadan,dandadan,39,19,19,success,2025-11-01T16:44:40.772606,,manga/dandadan/chapter-039
Dandadan,dandadan,40,25,25,success,2025-11-01T16:46:23.462204,,manga/dandadan/chapter-040
Dandadan,dandadan,41,16,16,success,2025-11-01T16:47:43.353433,,manga/dandadan/chapter-041
Dandadan,dandadan,42,19,19,success,2025-11-01T16:48:43.221077,,manga/dandadan/chapter-042
Dandadan,dandadan,43,20,20,success,2025-11-01T22:02:30.465581,,manga/dandadan/chapter-043
Dandadan,dandadan,44,19,19,success,2025-11-01T16:52:26.182681,,manga/dandadan/chapter-044
Dandadan,dandadan,45,19,19,success,2025-11-01T16:53:50.918627,,manga/dandadan/chapter-045
Dandadan,dandadan,46,19,19,success,2025-11-01T16:55:00.242985,,manga/dandadan/chapter-046
Dandadan,dandadan,47,21,21,success,2025-11-01T16:55:56.582385,,manga/dandadan/chapter-047
Dandadan,dandadan,48,19,19,success,2025-11-01T16:56:51.240291,,manga/dandadan/chapter-048
Dandadan,dandadan,49,17,17,success,2025-11-01T16:58:04.539293,,manga/dandadan/chapter-049
Dandadan,dandadan,50,20,20,success,2025-11-01T16:58:51.828136,,manga/dandadan/chapter-050
Dandadan,dandadan,51,19,19,success,2025-11-01T16:59:47.049887,,manga/dandadan/chapter-051
Dandadan,dandadan,52,19,19,success,2025-11-01T17:00:48.699151,,manga/dandadan/chapter-052
Dandadan,dandadan,53,20,20,success,2025-11-01T17:01:49.260753,,manga/dandadan/chapter-053
Dandadan,dandadan,54,19,19,success,2025-11-01T17:02:48.841389,,manga/dandadan/chapter-054
Dandadan,dandadan,55,20,20,success,2025-11-01T17:04:04.027920,,manga/dandadan/chapter-055
Dandadan,dandadan,56,21,21,success,2025-11-01T17:05:28.753125,,manga/dandadan/chapter-056
Dandadan,dandadan,57,19,19,success,2025-11-01T17:06:42.383402,,manga/dandadan/chapter-057
Dandadan,dandadan,58,19,19,success,2025-11-01T17:07:50.049058,,manga/dandadan/chapter-058
Dandadan,dandadan,59,19,19,success,2025-11-01T17:08:50.051482,,manga/dandadan/chapter-059
Dandadan,dandadan,60,19,19,success,2025-11-01T17:10:09.871907,,manga/dandadan/chapter-060
Dandadan,dandadan,61,21,21,success,2025-11-01T17:11:09.645212,,manga/dandadan/chapter-061
Dandadan,dandadan,62,18,18,success,2025-11-01T17:12:40.918490,,manga/dandadan/chapter-062
Dandadan,dandadan,63,19,19,success,2025-11-01T17:13:35.519720,,manga/dandadan/chapter-063
Dandadan,dandadan,64,20,20,success,2025-11-01T17:15:07.531455,,manga/dandadan/chapter-064
Dandadan,dandadan,65,19,19,success,2025-11-01T17:16:23.149135,,manga/dandadan/chapter-065
Dandadan,dandadan,66,20,20,success,2025-11-01T17:17:22.723169,,manga/dandadan/chapter-066
Dandadan,dandadan,67,19,19,success,2025-11-01T17:18:30.800974,,manga/dandadan/chapter-067
Dandadan,dandadan,68,16,16,success,2025-11-01T17:19:51.223656,,manga/dandadan/chapter-068
Dandadan,dandadan,69,19,19,success,2025-11-01T17:20:46.869670,,manga/dandadan/chapter-069
Dandadan,dandadan,70,20,20,success,2025-11-01T17:22:13.474368,,manga/dandadan/chapter-070
Dandadan,dandadan,71,19,19,success,2025-11-01T17:23:10.183317,,manga/dandadan/chapter-071
Dandadan,dandadan,72,20,20,success,2025-11-01T17:24:17.799027,,manga/dandadan/chapter-072
Dandadan,dandadan,73,18,18,success,2025-11-01T17:25:22.996516,,manga/dandadan/chapter-073
Dandadan,dandadan,74,18,18,success,2025-11-01T17:26:25.057271,,manga/dandadan/chapter-074
Dandadan,dandadan,75,18,18,success,2025-11-01T17:27:39.377817,,manga/dandadan/chapter-075
Dandadan,dandadan,76,19,19,success,2025-11-01T17:28:49.510693,,manga/dandadan/chapter-076
Dandadan,dandadan,77,19,19,success,2025-11-01T17:30:09.775696,,manga/dandadan/chapter-077
Dandadan,dandadan,78,19,19,success,2025-11-01T17:31:31.856053,,manga/dandadan/chapter-078
Dandadan,dandadan,79,24,24,success,2025-11-01T17:33:07.051292,,manga/dandadan/chapter-079
Dandadan,dandadan,80,20,20,success,2025-11-01T17:34:23.047068,,manga/dandadan/chapter-080
Dandadan,dandadan,81,18,18,success,2025-11-01T17:35:52.678322,,manga/dandadan/chapter-081
