manga_name,chapter_number,chapter_name,panel_count,folder_path,scraped_at
One Piece,001,chapter-001,54,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-001,2025-10-27 21:45:06
One Piece,002,chapter-002,23,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-002,2025-10-27 21:45:06
One Piece,003,chapter-003,21,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-003,2025-10-27 21:45:06
One Piece,004,chapter-004,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-004,2025-10-27 21:45:06
One Piece,005,chapter-005,21,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-005,2025-10-27 21:45:06
One Piece,006,chapter-006,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-006,2025-10-27 21:45:06
One Piece,007,chapter-007,21,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-007,2025-10-27 21:45:06
One Piece,008,chapter-008,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-008,2025-10-27 21:45:06
One Piece,009,chapter-009,28,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-009,2025-10-27 21:45:06
One Piece,010,chapter-010,24,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-010,2025-10-27 21:45:06
One Piece,011,chapter-011,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-011,2025-10-27 21:45:06
One Piece,012,chapter-012,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-012,2025-10-27 21:45:06
One Piece,013,chapter-013,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-013,2025-10-27 21:45:06
One Piece,014,chapter-014,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-014,2025-10-27 21:45:06
One Piece,015,chapter-015,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-015,2025-10-27 21:45:06
One Piece,016,chapter-016,18,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-016,2025-10-27 21:45:06
One Piece,017,chapter-017,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-017,2025-10-27 21:45:06
One Piece,018,chapter-018,25,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-018,2025-10-27 21:45:06
One Piece,019,chapter-019,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-019,2025-10-27 21:45:06
One Piece,020,chapter-020,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-020,2025-10-27 21:45:06
One Piece,021,chapter-021,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-021,2025-10-27 21:45:06
One Piece,022,chapter-022,30,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-022,2025-10-27 21:45:06
One Piece,023,chapter-023,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-023,2025-10-27 21:45:06
One Piece,024,chapter-024,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-024,2025-10-27 21:45:06
One Piece,025,chapter-025,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-025,2025-10-27 21:45:06
One Piece,026,chapter-026,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-026,2025-10-27 21:45:06
One Piece,027,chapter-027,27,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-027,2025-10-27 21:45:06
One Piece,028,chapter-028,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-028,2025-10-27 21:45:06
One Piece,029,chapter-029,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-029,2025-10-27 21:45:06
